id,nombre_comercial,tipo,grado_N,grado_P2O5,grado_K2O,grado_S,clase,formulacion,estado_colombia,fuente
1,Urea 46%,Simple,46,0,0,0,Nitrogenado,46-0-0,Amplia comercialización en Colombia,Monómeros / Nutrien / múltiples importadores
2,Urea granulada recubierta con azufre (SCU),Simple,40,0,0,6,Nitrogenado,40-0-0-6S,Uso especializado/regional,Común en distribuidores agroquímicos de Colombia (insumo genérico)
3,Sulfato de amonio,Simple,21,0,0,24,Nitrogenado,21-0-0-24S,Amplia comercialización en Colombia,Monómeros / Yara Colombia
4,Nitrato de amonio,Simple,33.5,0,0,0,Nitrogenado,33.5-0-0,Uso restringido/regulado (control antiexplosivos),Común en distribuidores agroquímicos de Colombia (insumo genérico)
5,Nitrato de amonio cálcico (CAN 27%),Simple,27,0,0,0,Nitrogenado,27-0-0,Comercialización común,Yara Colombia
6,Sulfonitrato de amonio (ASN),Simple,26,0,0,14,Nitrogenado,26-0-0-14S,Comercialización común,Yara Colombia
7,Nitrato de calcio (Ca(NO3)2),Simple,15.5,0,0,0,Nitrogenado/Secundario,15.5-0-0,"Comercialización común (flores, hortalizas)",Yara Colombia / Haifa (importado)
8,Nitrato de calcio boratado,Simple,15,0,0,0,Nitrogenado/Secundario,15-0-0,Uso especializado (floricultura),Común en distribuidores agroquímicos de Colombia (insumo genérico)
9,Nitrato de potasio (KNO3),Simple,13,0,46,0,Nitrogenado/Potásico,13-0-46,Comercialización común,Haifa / SQM (importado)
10,Nitrato de magnesio,Simple,11,0,0,0,Nitrogenado/Secundario,11-0-0,Uso especializado (fertirriego),Grado técnico/soluble - estándar industria fertirriego
11,Urea fosfato (UP),Simple,17,44,0,0,Nitrogenado/Fosfatado soluble,17-44-0,Uso especializado (fertirriego),Grado técnico/soluble - estándar industria fertirriego
12,Nitrato de sodio (salitre),Simple,16,0,0,0,Nitrogenado,16-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
13,Cianamida cálcica,Simple,21,0,0,0,Nitrogenado,21-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
14,Urea líquida (solución),Simple,20,0,0,0,Nitrogenado líquido,20-0-0,Uso especializado (foliar),Común en distribuidores agroquímicos de Colombia (insumo genérico)
15,UAN Solución nitrogenada 32%,Simple,32,0,0,0,Nitrogenado líquido,32-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
16,Fosfato diamónico (DAP),Simple,18,46,0,0,Fosfatado,18-46-0,Amplia comercialización en Colombia,Monómeros / Yara / Nutrien
17,Fosfato monoamónico (MAP),Simple,11,52,0,0,Fosfatado,11-52-0,Amplia comercialización en Colombia,Monómeros / Yara Colombia
