nutrient_id,texture,region,extraction_method,unit,low_threshold,medium_threshold,high_threshold,source,year
P,any,any,Bray_II,mg_per_kg,20,40,40,Castro_Gomez_2009_tabla12,2009
P,any,any,Olsen,mg_per_kg,16,35,35,Castro_Gomez_2009_tabla12,2009
K,any,any,any,cmolc_per_kg,0.4,0.6,1.0,Castro_Gomez_2009_tabla12,2009
S,any,any,any,mg_per_kg,8,16,16,Castro_Gomez_2009_tabla12,2009
Ca,any,any,any,cmolc_per_kg,3.0,6.0,6.0,Castro_Gomez_2009_tabla12,2009
Mg,any,any,any,cmolc_per_kg,1.2,1.8,1.8,Castro_Gomez_2009_tabla12,2009
Na,any,any,any,cmolc_per_kg,0.1,0.5,0.5,Castro_Gomez_2009_tabla12,2009
B,any,any,any,mg_per_kg,0.3,0.6,0.6,Castro_Gomez_2009_tabla12,2009
Mn,any,any,any,mg_per_kg,5,10,10,Castro_Gomez_2009_tabla12,2009
Cu,any,any,any,mg_per_kg,2,4,4,Castro_Gomez_2009_tabla12,2009
Zn,any,any,any,mg_per_kg,3,6,6,Castro_Gomez_2009_tabla12,2009
Fe,any,any,any,mg_per_kg,50,100,100,Castro_Gomez_2009_tabla12,2009
