source_id,name,nutrient_id,pct,density_kg_l,restrictions
urea_46,Urea 46%,N,46,,Amplia comercialización en Colombia; fuente: Monómeros / Nutrien / múltiples importadores
urea_granulada_recubierta_con_azufre_scu,Urea granulada recubierta con azufre (SCU),N,40,,Uso especializado/regional; fuente: Común en distribuidores agroquímicos de Colombia (insumo genérico)
urea_granulada_recubierta_con_azufre_scu,Urea granulada recubierta con azufre (SCU),S,6,,Uso especializado/regional; fuente: Común en distribuidores agroquímicos de Colombia (insumo genérico)
sulfato_de_amonio,Sulfato de amonio,N,21,,Amplia comercialización en Colombia; fuente: Monómeros / Yara Colombia
sulfato_de_amonio,Sulfato de amonio,S,24,,Amplia comercialización en Colombia; fuente: Monómeros / Yara Colombia
nitrato_de_amonio,Nitrato de amonio,N,33.5,,Uso restringido/regulado (control antiexplosivos); fuente: Común en distribuidores agroquímicos de Colombia (insumo genérico)
nitrato_de_amonio_calcico_can_27,Nitrato de amonio cálcico (CAN 27%),N,27,,Comercialización común; fuente: Yara Colombia
sulfonitrato_de_amonio_asn,Sulfonitrato de amonio (ASN),N,26,,Comercialización común; fuente: Yara Colombia
sulfonitrato_de_amonio_asn,Sulfonitrato de amonio (ASN),S,14,,Comercialización común; fuente: Yara Colombia
nitrato_de_calcio_ca_no3_2,Nitrato de calcio (Ca(NO3)2),N,15.5,,"Comercialización común (flores, hortalizas); fuente: Yara Colombia / Haifa (importado)"
nitrato_de_calcio_boratado,Nitrato de calcio boratado,N,15,,Uso especializado (floricultura); fuente: Común en distribuidores agroquímicos de Colombia (insumo genérico)
nitrato_de_potasio_kno3,Nitrato de potasio (KNO3),N,13,,Comercialización común; fuente: Haifa / SQM (importado)
nitrato_de_potasio_kno3,Nitrato de potasio (KNO3),K,38.187,,Comercialización común; fuente: Haifa / SQM (importado)
nitrato_de_magnesio,Nitrato de magnesio,N,11,,Uso especializado (fertirriego); fuente: Grado técnico/soluble - estándar industria fertirriego
urea_fosfato_up,Urea fosfato (UP),N,17,,Uso especializado (fertirriego); fuente: Grado técnico/soluble - estándar industria fertirriego
urea_fosfato_up,Urea fosfato (UP),P,19.2028,,Uso especializado (fertirriego); fuente: Grado técnico/soluble - estándar industria fertirriego
nitrato_de_sodio_salitre,Nitrato de sodio (salitre),N,16,,Uso especializado/regional; fuente: Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
cianamida_calcica,Cianamida cálcica,N,21,,Uso especializado/regional; fuente: Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
urea_liquida_solucion,Urea líquida (solución),N,20,,Uso especializado (foliar); fuente: Común en distribuidores agroquímicos de Colombia (insumo genérico)
uan_solucion_nitrogenada_32,UAN Solución nitrogenada 32%,N,32,,Uso especializado/regional; fuente: Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
fosfato_diamonico_dap,Fosfato diamónico (DAP),N,18,,Amplia comercialización en Colombia; fuente: Monómeros / Yara / Nutrien
fosfato_diamonico_dap,Fosfato diamónico (DAP),P,20.0756,,Amplia comercialización en Colombia; fuente: Monómeros / Yara / Nutrien
fosfato_monoamonico_map,Fosfato monoamónico (MAP),N,11,,Amplia comercialización en Colombia; fuente: Monómeros / Yara Colombia
fosfato_monoamonico_map,Fosfato monoamónico (MAP),P,22.6942,,Amplia comercialización en Colombia; fuente: Monómeros / Yara Colombia
fosfato_monoamonico_purificado_map_soluble,Fosfato monoamónico purificado (MAP soluble),N,12,,Comercialización común (fertirriego); fuente: Grado técnico/soluble - estándar industria fertirriego
fosfato_monoamonico_purificado_map_soluble,Fosfato monoamónico purificado (MAP soluble),P,26.622,,Comercialización común (fertirriego); fuente: Grado técnico/soluble - estándar industria fertirriego
superfosfato_simple_sfs,Superfosfato simple (SFS),P,7.8557,,Amplia comercialización en Colombia; fuente: Monómeros / Abonos Colombianos
superfosfato_simple_sfs,Superfosfato simple (SFS),S,12,,Amplia comercialización en Colombia; fuente: Monómeros / Abonos Colombianos
superfosfato_triple_sft_tsp,Superfosfato triple (SFT/TSP),P,20.0756,,Comercialización común; fuente: Monómeros / importadores
roca_fosforica_fosforita,Roca fosfórica (Fosforita),P,12.2199,,Comercialización común (agricultura orgánica); fuente: Yacimientos nacionales (Boyacá/Huila) - genérico
fosfato_monopotasico_mkp,Fosfato monopotásico (MKP),P,22.6942,,Comercialización común (fertirriego/foliar); fuente: Grado técnico/soluble - estándar industria fertirriego
fosfato_monopotasico_mkp,Fosfato monopotásico (MKP),K,28.2251,,Comercialización común (fertirriego/foliar); fuente: Grado técnico/soluble - estándar industria fertirriego
acido_fosforico_agricola,Ácido fosfórico agrícola,P,22.6942,,Uso especializado (fertirriego); fuente: Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
cloruro_de_potasio_kcl_mop,Cloruro de potasio (KCl / MOP),K,49.8091,,Amplia comercialización en Colombia; fuente: Monómeros / Nutrien / importado (Canpotex)
