nutrient_id,texture,region,low_threshold,medium_threshold,high_threshold,source,year
P,any,global,10,20,30,Olsen_general_guidelines,2020
K,any,global,0.15,0.3,0.6,Non_Nobis_Solum_Py_prototype,2026
S,any,global,8,12,20,Non_Nobis_Solum_Py_prototype,2026
Ca,any,global,2.0,6.0,10.0,Non_Nobis_Solum_Py_prototype,2026
Mg,any,global,0.5,2.0,4.0,Non_Nobis_Solum_Py_prototype,2026
Na,any,global,0.1,0.5,0.5,Castro_Gomez_2009_tabla12,2009
B,any,global,0.3,0.6,0.6,Castro_Gomez_2009_tabla12,2009
Mn,any,global,5,10,10,Castro_Gomez_2009_tabla12,2009
Cu,any,global,2,4,4,Castro_Gomez_2009_tabla12,2009
Zn,any,global,3,6,6,Castro_Gomez_2009_tabla12,2009
Fe,any,global,50,100,100,Castro_Gomez_2009_tabla12,2009
