crop_id,product,yield_unit,nutrient_id,removal_kg_per_unit,source,region,year,dataset_version
corn,grain,t_ha,N,15.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
corn,grain,t_ha,P,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
corn,grain,t_ha,K,8.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
corn,grain,t_ha,S,3.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
corn,grain,t_ha,Ca,0.2,Gomez_2006a+IFA_1992_extraccion_tabla10,global,1992,v1
corn,grain,t_ha,Mg,2,Gomez_2006a+IFA_1992_extraccion_tabla10,global,1992,v1
wheat,grain,t_ha,N,21.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
wheat,grain,t_ha,P,4.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
wheat,grain,t_ha,K,5.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
wheat,grain,t_ha,S,4.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
wheat,grain,t_ha,Ca,0.4,Garcia_et_al_2006+Gomez_2006a_extraccion_tabla10,global,2006,v1
wheat,grain,t_ha,Mg,3,Garcia_et_al_2006+Gomez_2006a_extraccion_tabla10,global,2006,v1
potato,grain,t_ha,N,3.6,Non_Nobis_Solum_Py_prototype,global,2026,v1
potato,grain,t_ha,P,0.7,Non_Nobis_Solum_Py_prototype,global,2026,v1
potato,grain,t_ha,K,6.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
potato,grain,t_ha,S,0.8,Non_Nobis_Solum_Py_prototype,global,2026,v1
potato,grain,t_ha,Ca,0.1,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
potato,grain,t_ha,Mg,0.4,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
rice,grain,t_ha,N,15.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
rice,grain,t_ha,P,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
rice,grain,t_ha,K,4.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
rice,grain,t_ha,S,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
rice,grain,t_ha,Ca,0.1,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
rice,grain,t_ha,Mg,1,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
coffee,grain,t_ha,N,3.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
coffee,grain,t_ha,P,0.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
coffee,grain,t_ha,K,3.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
coffee,grain,t_ha,S,1.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
coffee,grain,t_ha,Ca,3.0,illustrative_estimate,global,2026,v1
coffee,grain,t_ha,Mg,2.0,illustrative_estimate,global,2026,v1
sugarcane,grain,t_ha,N,0.8,Non_Nobis_Solum_Py_prototype,global,2026,v1
sugarcane,grain,t_ha,P,0.2,Non_Nobis_Solum_Py_prototype,global,2026,v1
sugarcane,grain,t_ha,K,1.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
sugarcane,grain,t_ha,S,0.4,Non_Nobis_Solum_Py_prototype,global,2026,v1
sugarcane,grain,t_ha,Ca,0.14,Bertsch_2003_extraccion_tabla11,global,2003,v1
sugarcane,grain,t_ha,Mg,0.86,Bertsch_2003_extraccion_tabla11,global,2003,v1
soybean,grain,t_ha,N,65.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
soybean,grain,t_ha,P,7.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
soybean,grain,t_ha,K,14.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
soybean,grain,t_ha,S,5.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
soybean,grain,t_ha,Ca,3,Ciampitti_Garcia_2007_extraccion_tabla11,global,2007,v1
soybean,grain,t_ha,Mg,4,Ciampitti_Garcia_2007_extraccion_tabla11,global,2007,v1
