property,climate_zone,category,min_value,max_value,unit,source,year
ph,any,extremely_acid,,4.5,ph,Castro_Gomez_2009_tabla12,2009
ph,any,very_strongly_acid,4.5,5.1,ph,Castro_Gomez_2009_tabla12,2009
ph,any,strongly_acid,5.1,5.6,ph,Castro_Gomez_2009_tabla12,2009
ph,any,moderately_acid,5.6,6.1,ph,Castro_Gomez_2009_tabla12,2009
ph,any,slightly_acid,6.1,6.6,ph,Castro_Gomez_2009_tabla12,2009
ph,any,neutral,6.6,7.4,ph,Castro_Gomez_2009_tabla12,2009
ph,any,calcareous_alkaline,7.4,7.9,ph,Castro_Gomez_2009_tabla12,2009
ph,any,moderately_alkaline_sodic,7.9,8.4,ph,Castro_Gomez_2009_tabla12,2009
ph,any,strongly_alkaline_sodic,8.4,,ph,Castro_Gomez_2009_tabla12,2009
organic_matter,warm,very_low,,1,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,warm,low,1,2,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,warm,sufficient,2,3,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,warm,high,3,5,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,warm,very_high,5,,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,temperate,very_low,,2,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,temperate,low,2,3,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,temperate,sufficient,3,5,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,temperate,high,5,10,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,temperate,very_high,10,,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,cold,very_low,,3,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,cold,low,3,5,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,cold,sufficient,5,10,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,cold,high,10,20,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
organic_matter,cold,very_high,20,,percent,Tabla4_MOS_horizonte_A_altitud_temperatura,2009
electrical_conductivity,any,very_low,,0.5,ds_per_m,Castro_Gomez_2009_tabla12,2009
electrical_conductivity,any,low,0.5,1,ds_per_m,Castro_Gomez_2009_tabla12,2009
electrical_conductivity,any,medium,1,2,ds_per_m,Castro_Gomez_2009_tabla12,2009
electrical_conductivity,any,high,2,,ds_per_m,Castro_Gomez_2009_tabla12,2009
cec,any,very_low,,5,cmolc_per_kg,Castro_Gomez_2009_tabla12,2009
cec,any,low,5,10,cmolc_per_kg,Castro_Gomez_2009_tabla12,2009
cec,any,medium,10,20,cmolc_per_kg,Castro_Gomez_2009_tabla12,2009
cec,any,high,20,,cmolc_per_kg,Castro_Gomez_2009_tabla12,2009
aluminum_saturation,any,acidity_none,,15,percent,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
aluminum_saturation,any,acidity_medium,15,30,percent,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
aluminum_saturation,any,acidity_high,30,,percent,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
exchangeable_aluminum,any,acidity_none,,1,cmolc_per_kg,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
exchangeable_aluminum,any,acidity_medium,1,2.5,cmolc_per_kg,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
exchangeable_aluminum,any,acidity_high,2.5,,cmolc_per_kg,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
sum_of_bases,any,acidity_high,,5,cmolc_per_kg,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
sum_of_bases,any,acidity_medium,5,8,cmolc_per_kg,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
sum_of_bases,any,acidity_low,8,10,cmolc_per_kg,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
sum_of_bases,any,favourable_for_the_crop,10,,cmolc_per_kg,Castro_Gomez_2009_tabla12_diagnostico_acidez,2009
ca_to_mg,any,calcium_deficient,,1,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
ca_to_mg,any,ideal,3,5,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
ca_to_mg,any,magnesium_deficient,10,,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
mg_to_k,any,magnesium_deficient,,6,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
mg_to_k,any,ideal,6,8,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
mg_to_k,any,potassium_deficient,10,,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
k_to_mg,any,potassium_deficient,,0.2,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
k_to_mg,any,ideal,0.2,0.3,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
k_to_mg,any,magnesium_deficient,0.3,,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
ca_to_k,any,ideal,12,18,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
ca_to_k,any,potassium_deficient,30,,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
ca_plus_mg_to_k,any,ideal,12,20,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
ca_plus_mg_to_k,any,potassium_deficient,40,,ratio,Castro_Gomez_2009_tabla12_balance_de_bases,2009
